title_x,imdb_id,poster_path,wiki_link,title_y,original_title,is_adult,year_of_release,runtime,genres,imdb_rating,imdb_votes,story,summary,tagline,actors,wins_nominations,release_date,directors_name,directors_born_year,directors_profession,writers_name,writers_born_year,writers_profession
Queen (2014 film),tt3322420,https://upload.wikimedia.org/wikipedia/en/thumb/4/45/QueenMoviePoster7thMarch.jpg/220px-QueenMoviePoster7thMarch.jpg,https://en.wikipedia.org/wiki/Queen_(2014_film),Queen,Queen,0.0,2013.0,146,Comedy|Drama,8.2,56406.0,Queen is a movie about growing up. Rani (Kangana Ranaut) is a Delhi girl from a conservative family who is ditched by her fiancé just before her wedding. Shocked by this  she decides to set out on the planned honeymoon alone. As she travels the world and meets new people  she gains new experiences and discovers her own identity.,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,Everything in life happens for the good.,Kangana Ranaut|Rajkummar Rao|Lisa Haydon|Jeffrey Ho|Marco Canadea|Guithob Joseph|Yogendra Tiku|Alka Badola Kaushal|Tripta Lakhanpal|Chinmay Chandraunshuh|Nayani Dixit|Sabeeka Imam|Ayaan Malik|Ramesh Kalra|,21 wins & 14 nominations,7 March 2014 (India),Vikas Bahl,1971,producer|writer|director,Vikas Bahl|Chaitally Parmar|Parveez Sheikh|Anvita Dutt Guptan|Kangana Ranaut,1971|\N|\N|\N|1987,producer|writer|director|producer|writer|production_manager|writer|music_department|soundtrack|writer|actress|director|writer
Krishna Aur Kans,tt2321492,https://upload.wikimedia.org/wikipedia/en/thumb/b/b8/KRISHNA_AUR_KANS.gif/220px-KRISHNA_AUR_KANS.gif,https://en.wikipedia.org/wiki/Krishna_Aur_Kans,Krishna Aur Kans,Krishna Aur Kans,0.0,2012.0,117,Action|Adventure|Animation,6.3,157.0,"It is the story of Krishna  the destiny's child  born as the nemesis of brutal king Kans who had tormented the kingdom with his ruthless dominance. Growing up as a naughty prankster  Krishna from a very early age displays his valiant powers over the deadly demons send by Kans  whose frustrations grow as every death defying duel hails Krishna emerging as a real hero among his folks. Years of futile efforts to eliminate his nemesis at last compels Kans to invite Krishna for a decisive duel in the coliseum as the massive crowd breathlessly witnesses the final faceoff between good and evil. As an epic magnum opus  ""Krishna aur Kans"" promises a complete entertainment package. The pace and speed of the film aptly support the emergence of Krishna  the greatest legendary heritage character of India  that manages to keep the graph of excitement soaring till the end. Adding another magic touch to the package is the heartwarming music of the film. Krishna aur Kans as an animated feature film ...",Hailed as India's first stereoscopic animated film  'Krishna Aur Kans' is an exciting narrative full of action and drama. The movie chronicles Krishna's early years -- from his birth as the nemesis of his tyrannical uncle Kans.,,Manoj Bajpayee|Harish Bhimani|Neetu Chaudhary|Juhi Chawla|Kenneth Desai|Meghna Erande|Meena Goculdas|A.K. Hangal|Ninad Kamat|Jameel Khan|Mukesh Khanna|Anupam Kher|Vinod Kulkarni|Rahul Mulani|,,3 August 2012 (India),Vikram Veturi,\N,animation_department|director,Kamlesh Pandey|H. Banerjee|Dhrubo Banerjee|Bhaskar Mani,\N|\N|\N|\N,writer|music_department|writer|miscellaneous|writer|writer
Setters (film),tt9239772,https://upload.wikimedia.org/wikipedia/en/thumb/0/08/Setters_Official_Poster.png/220px-Setters_Official_Poster.png,https://en.wikipedia.org/wiki/Setters_(film),Setters,Setters,0.0,2019.0,126,Thriller,5.1,158.0,"A thriller set in Benares  Jaipur  Mumbai and Delhi  Setters is about a racket profiteering from academic scams. The film follows a cat-and-mouse game between two good friends: one a cop  and the other a ""setter"" who arranges brilliant students in place of weak students to appear in examinations.",A thriller set in Benares  Jaipur  Mumbai and Delhi  Setters is about a racket profiteering from academic scams. The film follows a cat-and-mouse game between two good friends: one a cop  ...                    ,,Shreyas Talpade|Aftab Shivdasani|Sonnalli Seygall|Ishita Dutta|Pavan Malhotra|Vijay Raaz|Manu Rishi Chadha|Anil Charanjeett|Pankaj Jha|Jameel Khan|Niharika Kundu|Tanuka Laghate|Venus Singh|Neeraj Sood|,,3 May 2019 (India),Ashwini Chaudhary,\N,director|writer|assistant_director,Ashwini Chaudhary|Vikash Mani|Ahmed Siraj,\N|\N|\N,director|writer|assistant_director|writer|writer
Calapor (film),tt3311236,https://upload.wikimedia.org/wikipedia/en/thumb/3/34/Calapor_2013_Film_Poster.jpg/220px-Calapor_2013_Film_Poster.jpg,https://en.wikipedia.org/wiki/Calapor_(film),Calapor,Calapor,0.0,2013.0,120,Drama,5.2,5.0,The film is a taut thriller  set in the backdrop of a jail. It is a modern story of reformation. The film provokes thoughts about the nature of human being while infusing hope that there is good in every human being. When a reluctant Jyotsna  an artiste with her assistant Ragini arrive in Calapor Central Jail to conduct an art program for prison inmates  initiated by a very sincere and committed reformist Jail Superintendent  Karunakar  the agonizing past of a criminal husband who cheated her and a delinquent son who ran away  returns to torment her. With adversity comes an opportunity; a second chance that Jyotsna as a mother cannot afford to lose or fail to succeed.,The film is a taut thriller  set in the backdrop of a jail. It is a modern story of reformation. The film provokes thoughts about the nature of human being while infusing hope that there is...                    ,Where Cure Meets Crime,Hemant Gopal|,,2 August 2013 (India),Dinesh P. Bhonsle,\N,director|writer,Surabhi Dashputra|Mihir Vardan,\N|\N,writer|music_department|writer
Ki & Ka,tt4744086,https://upload.wikimedia.org/wikipedia/en/thumb/b/b2/Ki_%26_Ka_poster.jpg/220px-Ki_%26_Ka_poster.jpg,https://en.wikipedia.org/wiki/Ki_%26_Ka,Ki & Ka,Ki & Ka,0.0,2016.0,126,Comedy|Romance,5.8,4853.0,Follows a young  married couple whose relationship challenges the gender roles placed upon women and men in Indian society.,Follows a young  married couple whose relationship challenges the gender roles placed upon women and men in Indian society.,stri-ling pul-ling samething! (femin-ine mascul-ine samething!),Amitabh Bachchan|Kareena Kapoor|Arjun Kapoor|Jaya Bachchan|Rajit Kapoor|Swaroop Sampat|Abhiroy Singh|Ratnesh Mani|N. Madhusudan|Tanvir Singh|Priyanka Moodley|Sanjeev Wadhwani|Geeta Udeshi|Richard John Lovatt|,,1 April 2016 (India),R. Balki,\N,writer|director|producer,R. Balki|Rishi Virmani,\N|\N,writer|director|producer|writer|script_department|miscellaneous
Cigarette Ki Tarah,tt2346744,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Cigarette-Ki-Tarah-Poster-1.jpg/220px-Cigarette-Ki-Tarah-Poster-1.jpg,https://en.wikipedia.org/wiki/Cigarette_Ki_Tarah,Cigarette Ki Tarah,Cigarette Ki Tarah,0.0,2012.0,107,Romance|Thriller,4.5,21.0,A guy falls in love blindly with a beautiful girl. This blind love leads him into deep trouble  and further separates him from other people like one man versus the entire world. In these dark situations  where one surely gives up on everything  he doesn't  and thus keeps on believing and trusting on his blind love  which eventually shows him all the ways to be out from all the difficulties. Watch the full movie Cigarette Ki Tarah online  only on Eros Now.,A guy falls in love blindly with a beautiful girl. This blind love leads him into deep trouble  and further separates him from other people like one man versus the entire world. In these ...                    ,,Ashok Banthia|Sudesh Berry|Yuvika Chaudhry|Prashant Narayanan|RajKumar|Madhurima Tuli|,,14 December 2012 (India),Akashaditya Lama,\N,writer|director,Pradeep Atluri|Bobby Khan|Kamlesh Kumar,\N|\N|\N,writer|director|writer|actor|miscellaneous|assistant_director|writer
The Tashkent Files,tt8108268,https://upload.wikimedia.org/wikipedia/en/7/79/The_Tashkent_Files_poster.jpg,https://en.wikipedia.org/wiki/The_Tashkent_Files,The Tashkent Files,The Tashkent Files,0.0,2019.0,134,Drama|Mystery|Thriller,8.0,5524.0,The Tashkent Files is a thriller that revolves around the mysterious death of India's 2nd Prime Minister Shri Lal Bahadur Shastri and attempts to uncover if he had actually died a natural death  or  as alleged  was assassinated.,The Tashkent Files is a thriller that revolves around the mysterious death of India's 2nd Prime Minister Shri Lal Bahadur Shastri and attempts to uncover if he had actually died a natural death  or  as alleged  was assassinated.,,Naseeruddin Shah|Mithun Chakraborty|Shweta Basu Prasad|Pankaj Tripathi|Vinay Pathak|Mandira Bedi|Rajesh Sharma|Prakash Belawadi|Ankur Rathee|,,12 April 2019 (India),Vivek Agnihotri,\N,director|writer|producer,Vivek Agnihotri,\N,director|writer|producer
Gabbar Is Back,tt2424988,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/Gabbar_is_back_first_look.jpg/220px-Gabbar_is_back_first_look.jpg,https://en.wikipedia.org/wiki/Gabbar_Is_Back,Gabbar is Back,Gabbar is Back,0.0,2015.0,128,Action,7.1,21430.0,Gabbar Singh Rajput (Akshay Kumar) creates his own vigilante military network called the Anti-Corruption Force (ACF) that eliminates the most corrupt individuals  from all walks of life  in a systematic manner. As pressure builds on Police and Government to track down the man who masterminds these killings  Balbir Singh (Sonu Sood) is specially summoned to head the task. He is aided by Suryam (Prakash Raj) who  though being just a constable in the mammoth Police force  is compelled by his instincts to see through the underlying design.,A grief-stricken man takes the law into his own hands when he begins to kidnap and murder corrupt public servants.,,Akshay Kumar|Shruti Haasan|Kareena Kapoor|Jaideep Ahlawat|Chitrangda Singh|Sunil Grover|Shruti Bapna|Jitendra Trehan|Suman|Vikas Shrivastav|Ishita Vyas|Rajiv Kachroo|Sanjay Gurbaxani|Jagdish Rajpurohit|,1 win,1 May 2015 (India),Radha Krishna Jagarlamudi|Radha Krishna Jagarlamudi,\N|\N,director|writer|actor|director|writer|actor,A.R. Murugadoss|Rajat Arora|D.S. Kannan|A.R. Murugadoss|Rajat Arora|D.S. Kannan,\N|\N|\N|\N|\N|\N,writer|director|actor|writer|music_department|soundtrack|writer|director|writer|director|actor|writer|music_department|soundtrack|writer|director
Sharafat Gayi Tel Lene,tt4373886,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/Sharafat_Gayi_Tel_Lene.Jpg/220px-Sharafat_Gayi_Tel_Lene.Jpg,https://en.wikipedia.org/wiki/Sharafat_Gayi_Tel_Lene,Sharafat Gayi Tel Lene,Sharafat Gayi Tel Lene,0.0,2015.0,108,Comedy|Drama|Mystery,5.1,250.0,A mysterious sum of money is credited into Prithvi Khurrana  a commoner's bank account. It is allegedly done by a top notorious don.This forms the crux of the film leading to subsequent comical situations.,A mysterious sum of money is credited into Prithvi Khurrana  a commoner's bank account. It is allegedly done by a top notorious don.This forms the crux of the film leading to subsequent comical situations.,,Zayed Khan|Tina Desai|Anupam Kher|Rannvijay Singh|Talia Bentson|,,16 January 2015 (India),Gurmmeet Singh,\N,assistant_director|director|producer,Rajesh Chawla,\N,writer|actor|music_department
Do Lafzon Ki Kahani (film),tt4857886,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Do_Lafzon_Ki_Kahani_Poster.jpg/220px-Do_Lafzon_Ki_Kahani_Poster.jpg,https://en.wikipedia.org/wiki/Do_Lafzon_Ki_Kahani_(film),Do Lafzon Ki Kahani,Do Lafzon Ki Kahani,0.0,2016.0,128,Action|Drama|Romance,6.4,1201.0,Centered on ex-mixed martial arts artist Sooraj (Randeep Hooda) and sculptor artist Jenny (Kajal Aggarwal). Their fate intertwines when their past are revealed in their blooming relationship.,Centered on ex-mixed martial arts artist Sooraj (Randeep Hooda) and sculptor artist Jenny (Kajal Aggarwal). Their fate intertwines when their past are revealed in their blooming relationship.,,Kajal Aggarwal|Anil George|Randeep Hooda|Snehal Kulshreshtha|Mamik Singh|,,10 June 2016 (India),Deepak Tijori,1961,actor|director|producer,Girish Dhamija,\N,writer|miscellaneous|director
Sooper Se Ooper,tt3005850,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Sooper_Se_Ooper_Theatrical_Poster_%282013%29.jpg/220px-Sooper_Se_Ooper_Theatrical_Poster_%282013%29.jpg,https://en.wikipedia.org/wiki/Sooper_Se_Ooper,Sooper Se Ooper,Sooper Se Ooper,0.0,2013.0,\N,Comedy,4.3,156.0,A city guy goes to rural Rajasthan to look for his uncle.,A city guy goes to rural Rajasthan to look for his uncle.,,Tinnu Anand|Mahesh Balraj|Mithilesh Chaturvedi|Vir Das|Deepak Dobriyal|Gulshan Grover|Mohan Kapoor|Kirti Kulhari|Yashpal Sharma|,,25 October 2013 (India),Shekhar Ghosh,\N,director|writer|producer,Shekhar Ghosh,\N,director|writer|producer
Gangs of Wasseypur – Part 2,tt1954470,https://upload.wikimedia.org/wikipedia/en/thumb/5/58/Gangs_of_wasseypur_II.jpg/220px-Gangs_of_wasseypur_II.jpg,https://en.wikipedia.org/wiki/Gangs_of_Wasseypur_%E2%80%93_Part_2,Gangs of Wasseypur,Gangs of Wasseypur,0.0,2012.0,321,Action|Comedy|Crime,8.2,71636.0,Shahid Khan is exiled after impersonating the legendary Sultana Daku in order to rob British trains. Now outcast  Shahid becomes a worker at Ramadhir Singh's colliery  only to spur a revenge battle that passes on to generations. At the turn of the decade  Shahid's son  the philandering Sardar Khan vows to get his father's honor back  becoming the most feared man of Wasseypur.,A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur  and ignites a deadly blood feud spanning three generations.,,Manoj Bajpayee|Richa Chadha|Nawazuddin Siddiqui|Tigmanshu Dhulia|Jameel Khan|Piyush Mishra|Jaideep Ahlawat|Huma Qureshi|Zeishan Quadri|Vipin Sharma|Satyakam Anand|Aditya Kumar|Viineet Kumar|Rajkummar Rao|,12 wins & 43 nominations,2 August 2012 (Singapore),Anurag Kashyap|Anurag Kashyap,1972|1972,producer|writer|director|producer|writer|director,Akhilesh Jaiswal|Anurag Kashyap|Sachin K. Ladia|Zeishan Quadri|Akhilesh Jaiswal|Anurag Kashyap|Sachin K. Ladia|Zeishan Quadri,\N|1972|\N|\N|\N|1972|\N|\N,writer|director|producer|writer|director|writer|producer|actor|writer|writer|director|producer|writer|director|writer|producer|actor|writer
Dhoom 3,tt1833673,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Dhoom_3_Film_Poster.jpg/220px-Dhoom_3_Film_Poster.jpg,https://en.wikipedia.org/wiki/Dhoom_3,Dhoom 3,Dhoom:3,0.0,2013.0,172,Action|Thriller,5.4,41052.0,The favourite Indian action franchise is back. This time Jai Dixit (Abhishek Bachchan) and Ali (Uday Chopra) return to match their wits with the enigmatic clown thief  Sahir (Aamir Khan)  who has the city of Chicago in his thrall. In this battle of revenge and dignity  the lines blur and the conventional definition of good and bad don't apply. Watch a spectacle that will thrill you and move you.,When Sahir  a circus entertainer trained in magic and acrobatics  turns into a thief to take down a corrupt bank in Chicago that ruined his father  Indian officers Jai and Ali are called to catch him.,This year will end with a Dhoom,Aamir Khan|Abhishek Bachchan|Katrina Kaif|Uday Chopra|Jackie Shroff|Tabrett Bethell|Andrew Bicknell|Siddharth Nigam|Charles Rasmussen|Gavin Marshall|James Lamont|Girisha Nichani|Kapish Chawla|Kanishka Soni|,19 wins & 17 nominations,20 December 2013 (India),Vijay Krishna Acharya,\N,writer|director|soundtrack,Vijay Krishna Acharya|Aditya Chopra,\N|1971,writer|director|soundtrack|producer|writer|director
O Teri,tt3483596,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/O_Teri_Poster.jpg/220px-O_Teri_Poster.jpg,https://en.wikipedia.org/wiki/O_Teri,O Teri,O Teri,0.0,2014.0,107,Comedy|Drama,3.4,527.0,Prantabh and Anand  associated with a news channel in Delhi  are in search of a big scam to prove a point to their senior. A dead body accidentally lands up in their car.,Prantabh and Anand  associated with a news channel in Delhi  are in search of a big scam to prove a point to their senior. A dead body accidentally lands up in their car.,,Pulkit Samrat|Bilal Amrohi|Sarah-Jane Dias|,,28 March 2014 (India),Umesh Bist,\N,writer|director,Umesh Bist|Neeti Palta,\N|\N,writer|director|writer
